aVMuRG,tXUVkZ,xBlKDT,DYurrH,1999-01-27,1999-02-27,0.23,13,23
kCUWat,wjGhzF,mkgdbv,wwNYYi,2008-05-26,2008-06-26,0.2,17,31
hsxzTi,BUTUsB,iAsywP,ozWYzK,2011-11-04,2011-12-04,0.24,30,39
hsGjJZ,wPHRRY,xHKZCy,UYahFj,1999-05-01,1999-06-01,0.08,14,16
OtcHVE,okumxd,vJwuUW,MwvfkB,2005-12-12,2006-01-12,0.08,25,32
TZADWd,EouAkl,xbkbil,HLLZQr,2008-08-02,2008-09-02,0.15,1,14
DbfRmY,bzRXNh,AljmPB,qynchm,2003-12-03,2004-01-03,0.07,47,53
PDCXZu,NJsXZS,mlnJAD,RZtDnC,2011-07-21,2011-08-21,0.22,39,39
ZYTIoU,jwhjLi,MJIgUD,VbDTTw,2008-12-06,2009-01-06,0.17,9,18
beyvlh,NMpADB,YGHhhm,JkisMb,2004-11-04,2004-12-04,0.12,46,55
DDNOgd,FhbkCZ,tQeGVp,KiXDgW,2008-04-25,2008-05-25,0.18,16,17
qXDYpT,MWpoxF,WNxgGm,FiLnVv,2004-08-02,2004-09-02,0.0,1,13
yuWhlW,YwhAoe,akZOaB,glNzFr,2007-07-02,2007-08-02,0.16,6,8
YuArDK,iCUuZS,ijOOqm,UiqWSP,2007-08-13,2007-09-13,0.01,6,8
PYRSmq,lDCwiv,EhnOyd,iSepvK,1999-03-10,1999-04-10,0.21,4,16
UzHWWj,sZmZIi,nFaFgm,xZzuDw,1999-12-08,2000-01-08,0.11,42,49
VngQyH,IYZxSu,QfQbiQ,fYRSiT,1999-12-23,2000-01-23,0.08,29,43
SCHRfm,BLZrsS,kaZMAV,Yrmqno,2011-01-11,2011-02-11,0.08,1,4
yOgYxC,XrilnY,vhMmAL,fqxhTG,2011-04-04,2011-05-04,0.07,13,20
jvyKye,zwELvW,mHMVvp,BAkbxu,2000-01-08,2000-02-08,0.14,41,46
zzJlox,ckCfIk,sRRntH,QzdljB,1999-07-19,1999-08-19,0.05,45,46
uquBec,GioZuZ,jpVqbx,NTprWF,2002-09-09,2002-10-09,0.01,4,17
AhgoLK,nKbRVb,LuuDed,KPRFNz,2005-03-17,2005-04-17,0.21,18,28
oBSpjr,ldfMnu,dyVMbu,BkOaRl,1999-05-18,1999-06-18,0.06,33,34
xCQoUj,HPmbjc,ReqdvX,ebADIf,2006-05-15,2006-06-15,0.18,12,18
RBHobP,XVMEpt,hoWmlW,hydRMu,2007-02-24,2007-03-24,0.16,4,7
HaYcaD,GCtXaL,rNZuEw,kABdiD,2010-02-02,2010-03-02,0.2,25,36
lgfkiY,Dqioeh,AEUOBY,uwPxfP,2001-09-21,2001-10-21,0.2,46,54
bcXtHE,iqcVDX,NUDjYk,tfFkzj,2005-02-19,2005-03-19,0.2,23,31
KIFLen,EukWqi,xLQQXn,FDMiVL,2008-06-02,2008-07-02,0.19,36,40
RgOdZB,PgjIWK,SApeEW,zgFDNm,2005-04-07,2005-05-07,0.04,49,50
SMBmxG,XcrMCR,rGdZcj,dGrgbl,2008-12-01,2009-01-01,0.24,21,25
tVwyGd,mziPgV,fNnTSZ,mtXZwK,2011-10-24,2011-11-24,0.08,47,50
ZphVFO,XkSErm,PaLdPU,UeKSaA,1999-08-09,1999-09-09,0.15,29,40
ylwdwf,jtuusB,Xqssbp,wJAVKn,2003-11-21,2003-12-21,0.1,41,47
kpxQvl,zOzxVL,tStKuh,ZdMOMa,2001-05-03,2001-06-03,0.18,3,6
koOwRx,fXStxg,LkTCjM,cnlKuN,2011-01-25,2011-02-25,0.08,35,37
hdanRu,bHklnj,UyMrtx,xTBmsz,2005-08-09,2005-09-09,0.05,34,41
cssFgm,lYrGZE,QfaqAl,nCYcQf,1999-11-17,1999-12-17,0.07,4,4
IehXdW,yWChpx,Crszrn,ngeYuM,2007-05-28,2007-06-28,0.07,31,38
ZMCUPC,qnHQCs,yaZMTr,WdAOTF,2005-03-11,2005-04-11,0.17,24,31
tyrjWT,oQaqjN,QXNBZe,kiOUYv,2006-07-31,2006-08-31,0.16,9,22
NIwxjh,OhQduq,uktiDc,QXMwcd,2003-06-13,2003-07-13,0.23,43,51
bZpbre,RAbToQ,WHFJDQ,wKoGYv,2006-11-11,2006-12-11,0.05,34,35
uVQYPW,JhfIrz,VQnTDn,VmAeXz,2001-02-21,2001-03-21,0.01,42,43
QFUnuW,MfSMgQ,oRVWNe,BsWSeA,2000-02-19,2000-03-19,0.09,34,45
bsGqyc,uRpULJ,FrpveF,xLvyuh,2010-06-02,2010-07-02,0.22,2,3
MzOQPG,SygNdg,uRHjnV,MACFBa,2000-06-05,2000-07-05,0.21,42,46
rwnBYp,rrsmrC,CxajYu,orkgqi,2004-05-01,2004-06-01,0.19,20,26
gaPDdf,QvjUck,qFgXsX,hHDmkQ,2009-04-17,2009-05-17,0.17,19,21
VFZWjr,MkMCVw,rirGjk,jILXdv,2011-08-06,2011-09-06,0.2,28,35
GAxikF,uquWWn,vuKbFY,ICbZNv,2010-07-14,2010-08-14,0.1,4,6
DrCfcA,cWHRAw,HEEwDf,GmNIck,2007-01-26,2007-02-26,0.06,48,62
AJDeJT,vcaALr,ImcLtq,pbPGwi,2009-06-05,2009-07-05,0.14,20,30
ZSUaIz,QasSDi,FvZwye,vRgqLK,2005-06-02,2005-07-02,0.01,43,56
HsIJZX,GdKVGf,XfjffD,qJfaIr,2005-08-26,2005-09-26,0.02,49,54
hQVwAs,qaVtfG,jdPSQP,raSrxW,2005-09-20,2005-10-20,0.09,3,17
fjpnxG,KPcxHI,pXzNsB,mySjOe,2004-06-05,2004-07-05,0.23,23,28
mfXPXh,ACzmGw,krzwzy,BRccCd,2004-12-09,2005-01-09,0.24,42,43
mooGhb,xadhTT,HEVliY,XkHWTx,2000-08-21,2000-09-21,0.14,4,15
HUapUT,VGWApe,einVYp,RqylJu,2004-08-26,2004-09-26,0.24,16,23
UzGmrP,LUppEC,mGHKcw,qfbBKQ,2011-10-13,2011-11-13,0.03,6,20
lKECGs,WCbtCT,azZLcw,WaxDuw,2008-12-08,2009-01-08,0.2,38,43
mwDoQp,SuAuqY,AzCTTk,BTatyo,2006-05-25,2006-06-25,0.11,46,47
WmVbHd,JjFjIU,nKrHIa,VfXbGv,2005-08-04,2005-09-04,0.16,7,18
eqzQgg,SlBJTp,brOMyh,HjCfNK,2006-02-15,2006-03-15,0.16,9,18
